Planet Name,Num Stars
Kepler-458 c,1
Kepler-46 c,1
Kepler-407 c,1
Kepler-396 c,1
Kepler-466 b,1
Kepler-465 b,1
Kepler-464 b,1
Kepler-394 b,1
Kepler-394 c,1
Kepler-395 b,1
Kepler-395 c,1
Kepler-463 b,1
Kepler-462 c,1
Kepler-396 b,1
Kepler-462 b,1
Kepler-397 b,1
Kepler-40 b,1
Kepler-461 b,1
Kepler-397 c,1
Kepler-460 c,1
Kepler-398 b,1
Kepler-46 d,1
Kepler-398 c,1
Kepler-398 d,1
Kepler-399 b,1
Kepler-399 c,1
Kepler-399 d,1
Kepler-4 b,1
Kepler-407 b,1
Kepler-408 b,1
Kepler-366 b,1
Kepler-422 b,1
Kepler-436 c,1
Kepler-436 b,1
Kepler-419 b,1
Kepler-419 c,1
Kepler-42 b,1
Kepler-42 c,1
Kepler-42 d,1
Kepler-435 b,1
Kepler-434 b,1
Kepler-433 b,1
Kepler-421 b,1
Kepler-423 b,1
Kepler-438 b,1
Kepler-424 b,1
Kepler-431 d,1
Kepler-424 c,1
Kepler-431 c,1
Kepler-431 b,1
Kepler-430 c,1
Kepler-425 b,1
Kepler-430 b,1
Kepler-426 b,1
Kepler-43 b,1
Kepler-428 b,1
Kepler-437 b,1
Kepler-439 b,1
Kepler-409 b,1
Kepler-415 b,1
Kepler-41 b,1
Kepler-449 b,1
Kepler-448 c,1
Kepler-447 b,1
Kepler-446 d,1
Kepler-446 c,1
Kepler-412 b,1
Kepler-446 b,1
Kepler-414 b,1
Kepler-414 c,1
Kepler-445 d,1
Kepler-415 c,1
Kepler-44 b,1
Kepler-416 b,1
Kepler-416 c,1
Kepler-445 c,1
Kepler-417 b,1
Kepler-417 c,1
Kepler-445 b,1
Kepler-443 b,1
Kepler-442 b,1
Kepler-418 b,1
Kepler-441 b,1
Kepler-440 b,1
Kepler-466 c,1
Kepler-467 b,1
Kepler-468 b,1
Kepler-374 d,1
Kepler-372 b,1
Kepler-372 c,1
Kepler-372 d,1
Kepler-373 b,1
Kepler-495 b,1
Kepler-494 b,1
Kepler-493 b,1
Kepler-492 b,1
Kepler-373 c,1
Kepler-374 b,1
Kepler-374 c,1
Kepler-375 b,1
Kepler-496 b,1
Kepler-375 c,1
Kepler-376 b,1
Kepler-491 b,1
Kepler-376 c,1
Kepler-377 b,1
Kepler-490 b,1
Kepler-49 e,1
Kepler-49 d,1
Kepler-49 c,1
Kepler-377 c,1
Kepler-49 b,1
Kepler-371 c,1
Kepler-371 b,1
Kepler-470 b,1
Kepler-369 c,1
Kepler-366 c,1
Kepler-367 b,1
Kepler-508 b,1
Kepler-507 b,1
Kepler-367 c,1
Kepler-368 b,1
Kepler-368 c,1
Kepler-506 b,1
Kepler-505 b,1
Kepler-502 b,1
Kepler-369 b,1
Kepler-37 b,1
Kepler-370 b,1
Kepler-501 b,1
Kepler-500 b,1
Kepler-37 c,1
Kepler-37 d,1
Kepler-50 c,1
Kepler-50 b,1
Kepler-5 b,1
Kepler-499 b,1
Kepler-498 b,1
Kepler-497 b,1
Kepler-37 e,1
Kepler-378 b,1
Kepler-378 c,1
Kepler-379 b,1
Kepler-39 b,1
Kepler-48 d,1
Kepler-48 c,1
Kepler-387 b,1
Kepler-387 c,1
Kepler-388 b,1
Kepler-388 c,1
Kepler-389 b,1
Kepler-48 b,1
Kepler-479 b,1
Kepler-478 b,1
Kepler-389 c,1
Kepler-476 b,1
Kepler-379 c,1
Kepler-475 b,1
Kepler-474 b,1
Kepler-391 b,1
Kepler-391 c,1
Kepler-392 b,1
Kepler-392 c,1
Kepler-473 b,1
Kepler-393 b,1
Kepler-393 c,1
Kepler-472 b,1
Kepler-471 b,1
Kepler-48 e,1
Kepler-480 b,1
Kepler-481 b,1
Kepler-482 b,1
Kepler-489 b,1
Kepler-380 b,1
Kepler-488 b,1
Kepler-380 c,1
Kepler-381 b,1
Kepler-381 c,1
Kepler-382 b,1
Kepler-382 c,1
Kepler-383 b,1
Kepler-383 c,1
Kepler-487 c,1
Kepler-384 b,1
Kepler-384 c,1
Kepler-487 b,1
Kepler-486 b,1
Kepler-485 b,1
Kepler-484 b,1
Kepler-385 b,1
Kepler-385 c,1
Kepler-385 d,1
Kepler-386 b,1
Kepler-483 b,1
Kepler-386 c,1
Kepler-401 c,1
Kepler-276 d,1
Kepler-315 b,1
Kepler-188 b,1
Kepler-183 b,1
Kepler-183 c,1
Kepler-184 b,1
Kepler-184 c,1
Kepler-184 d,1
Kepler-185 b,1
Kepler-185 c,1
Kepler-186 b,1
Kepler-186 c,1
Kepler-186 d,1
Kepler-186 e,1
Kepler-186 f,1
Kepler-187 b,1
Kepler-187 c,1
Kepler-188 c,1
Kepler-194 b,1
Kepler-189 b,1
Kepler-189 c,1
Kepler-19 b,1
Kepler-19 c,1
Kepler-19 d,1
Kepler-190 b,1
Kepler-190 c,1
Kepler-191 b,1
Kepler-191 c,1
Kepler-191 d,1
Kepler-192 b,1
Kepler-192 c,1
Kepler-192 d,1
Kepler-193 b,1
Kepler-182 c,1
Kepler-182 b,1
Kepler-181 c,1
Kepler-181 b,1
Kepler-171 c,1
Kepler-171 d,1
Kepler-172 b,1
Kepler-172 c,1
Kepler-172 d,1
Kepler-172 e,1
Kepler-173 b,1
Kepler-173 c,1
Kepler-174 b,1
Kepler-174 c,1
Kepler-174 d,1
Kepler-175 b,1
Kepler-175 c,1
Kepler-176 b,1
Kepler-176 c,1
Kepler-176 d,1
Kepler-176 e,1
Kepler-177 b,1
Kepler-177 c,1
Kepler-178 b,1
Kepler-178 c,1
Kepler-178 d,1
Kepler-179 b,1
Kepler-179 c,1
Kepler-18 b,1
Kepler-18 c,1
Kepler-18 d,1
Kepler-180 b,1
Kepler-180 c,1
Kepler-193 c,1
Kepler-194 c,1
Kepler-1704 b,1
Kepler-215 e,1
Kepler-209 c,1
Kepler-210 b,1
Kepler-210 c,1
Kepler-211 b,1
Kepler-211 c,1
Kepler-212 b,1
Kepler-212 c,1
Kepler-213 b,1
Kepler-213 c,1
Kepler-214 b,1
Kepler-214 c,1
Kepler-215 b,1
Kepler-215 c,1
Kepler-215 d,1
Kepler-216 b,1
Kepler-194 d,1
Kepler-216 c,1
Kepler-217 b,1
Kepler-217 c,1
Kepler-217 d,1
Kepler-218 b,1
Kepler-218 c,1
Kepler-218 d,1
Kepler-219 b,1
Kepler-219 c,1
Kepler-219 d,1
Kepler-22 b,1
Kepler-220 b,1
Kepler-220 c,1
Kepler-220 d,1
Kepler-209 b,1
Kepler-208 e,1
Kepler-208 d,1
Kepler-208 c,1
Kepler-195 b,1
Kepler-195 c,1
Kepler-196 b,1
Kepler-196 c,1
Kepler-198 b,1
Kepler-198 c,1
Kepler-198 d,1
Kepler-199 b,1
Kepler-199 c,1
Kepler-200 b,1
Kepler-200 c,1
Kepler-201 b,1
Kepler-201 c,1
Kepler-202 b,1
Kepler-202 c,1
Kepler-203 b,1
Kepler-203 c,1
Kepler-203 d,1
Kepler-204 b,1
Kepler-204 c,1
Kepler-205 b,1
Kepler-205 c,1
Kepler-206 b,1
Kepler-206 c,1
Kepler-206 d,1
Kepler-207 b,1
Kepler-207 c,1
Kepler-207 d,1
Kepler-208 b,1
Kepler-171 b,1
Kepler-1702 b,1
Kepler-314 c,1
Kepler-1632 b,1
Kepler-1620 b,1
Kepler-1621 b,1
Kepler-1622 b,1
Kepler-1623 b,1
Kepler-1624 b,1
Kepler-1625 b,1
Kepler-1626 b,1
Kepler-1627 b,1
Kepler-1628 b,1
Kepler-1629 b,1
Kepler-163 b,1
Kepler-163 c,1
Kepler-1630 b,1
Kepler-1631 b,1
Kepler-1633 b,1
Kepler-1644 b,1
Kepler-1634 b,1
Kepler-1635 b,1
Kepler-1636 b,1
Kepler-1637 b,1
Kepler-1638 b,1
Kepler-1639 b,1
Kepler-164 b,1
Kepler-164 c,1
Kepler-164 d,1
Kepler-1640 b,1
Kepler-1641 b,1
Kepler-1641 c,1
Kepler-1642 b,1
Kepler-1642 c,1
Kepler-162 c,1
Kepler-162 b,1
Kepler-1619 b,1
Kepler-1618 b,1
Kepler-1594 b,1
Kepler-1595 b,1
Kepler-1596 b,1
Kepler-1597 b,1
Kepler-1598 b,1
Kepler-1599 b,1
Kepler-160 b,1
Kepler-160 c,1
Kepler-160 d,1
Kepler-1600 b,1
Kepler-1601 b,1
Kepler-1602 b,1
Kepler-1603 b,1
Kepler-1604 b,1
Kepler-1605 b,1
Kepler-1606 b,1
Kepler-1607 b,1
Kepler-1608 b,1
Kepler-1609 b,1
Kepler-161 b,1
Kepler-161 c,1
Kepler-1610 b,1
Kepler-1611 b,1
Kepler-1612 b,1
Kepler-1613 b,1
Kepler-1614 b,1
Kepler-1615 b,1
Kepler-1616 b,1
Kepler-1617 b,1
Kepler-1643 b,1
Kepler-1645 b,1
Kepler-1701 b,1
Kepler-169 e,1
Kepler-168 c,1
Kepler-1680 b,1
Kepler-1681 b,1
Kepler-1682 b,1
Kepler-1683 b,1
Kepler-1684 b,1
Kepler-1685 b,1
Kepler-1686 b,1
Kepler-1687 b,1
Kepler-1688 b,1
Kepler-1689 b,1
Kepler-169 b,1
Kepler-169 c,1
Kepler-169 d,1
Kepler-169 f,1
Kepler-1646 b,1
Kepler-1690 b,1
Kepler-1691 b,1
Kepler-1692 b,1
Kepler-1693 b,1
Kepler-1694 b,1
Kepler-1695 b,1
Kepler-1696 b,1
Kepler-1697 b,1
Kepler-1698 b,1
Kepler-1699 b,1
Kepler-17 b,1
Kepler-170 b,1
Kepler-170 c,1
Kepler-1700 b,1
Kepler-168 b,1
Kepler-1679 b,1
Kepler-1678 b,1
Kepler-1677 b,1
Kepler-1649 b,1
Kepler-1649 c,1
Kepler-165 b,1
Kepler-165 c,1
Kepler-1650 b,1
Kepler-1652 b,1
Kepler-1653 b,1
Kepler-1654 b,1
Kepler-1655 b,1
Kepler-1656 b,1
Kepler-1658 b,1
Kepler-166 b,1
Kepler-166 c,1
Kepler-166 d,1
Kepler-1663 b,1
Kepler-1664 b,1
Kepler-1665 b,1
Kepler-1666 b,1
Kepler-1666 c,1
Kepler-1667 b,1
Kepler-1668 b,1
Kepler-1669 b,1
