Planet Name,Num Stars,Num Planets,Orbital Period Days
18 Del b,2,1,993.3
HD 16175 b,1,1,990.0
HD 10647 b,1,1,989.2
Kepler-1704 b,1,1,988.88113
Kepler-48 e,1,4,982.0
HIP 14810 d,1,3,981.8
HD 132406 b,1,1,974.0
HD 98736 b,2,1,968.8
gam Lib c,1,2,964.6
HD 45350 b,1,1,963.6
HD 41004 A b,2,2,963.0
HD 181433 c,1,3,962.0
HD 126525 b,1,1,960.41
HD 181720 b,1,1,956.0
81 Cet b,1,1,952.7
HD 202696 c,1,2,946.6
HD 114386 b,1,1,937.70001
6 Lyn b,1,1,934.3
HD 13908 c,1,2,931.0
HIP 75092 b,1,1,926.4
HD 128311 c,1,2,921.538
HD 33844 c,1,2,916.0
HD 116029 c,2,2,907.0
gam Cep b,2,1,903.3
HD 131496 b,1,1,896.0
HD 29399 b,1,1,892.7
HD 37124 c,1,3,885.5
24 Sex c,1,2,883.0
HD 213240 b,2,1,882.70001
HD 208527 b,1,1,875.5
HD 5319 c,1,2,872.2
HAT-P-44 c,1,2,872.2
HD 222076 b,1,1,871.0
HD 72490 b,1,1,858.0
HD 42012 b,1,1,857.5
KIC 10525077 b,1,1,854.083
HD 200964 c,1,2,852.5
HD 70573 b,1,1,851.8
HD 30856 b,2,1,847.0
HD 156411 b,1,1,842.2
HD 99706 b,1,2,841.0
KIC 7917485 b,1,1,840.0
HD 110014 b,1,1,835.477
HD 33142 c,1,2,834.0
HD 4208 b,1,1,832.97
HD 111998 b,1,1,825.9
HIP 74890 b,1,1,822.3
Kepler-94 c,1,2,820.3
HD 158996 b,1,1,820.2
HD 155233 b,2,1,818.8
HD 156668 c,1,2,811.3
HD 85390 b,1,1,799.52
16 Cyg B b,3,1,798.5
Kepler-97 c,1,2,789.0
HD 5608 b,1,1,779.9
HD 48265 b,1,1,778.51
HD 102329 b,1,2,778.09998
GJ 9066 c,1,2,767.887
HD 18742 b,1,1,766.0
MXB 1658-298 b,2,1,760.0
GJ 414 A c,2,2,749.83
HD 240237 b,1,1,745.70001
