Planet Name,Planet Host,Num Planets,Orbital Period Days,Equilibrium Temperature,Distance,Mass
HD 141937 b,HD 141937,1,653.21997,,33.3622,3079.7727
HD 106515 A b,HD 106515 A,1,3630.0,,34.0915,3054.22
OGLE-2013-BLG-0911L b,OGLE-2013-BLG-0911L,1,,,3220.0,3020.0
WASP-8 c,WASP-8,2,4323.0,,89.9606,3003.37
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,,1700.0,139.135,3000.0
HR 8799 c,HR 8799,4,69000.0,,41.2441,3000.0
HR 8799 d,HR 8799,4,37000.0,,41.2441,3000.0
KOI-13 b,KOI-13,1,1.763588,2550.0,519.096,2949.4624
HIP 63242 b,HIP 63242,1,124.6,,156.456,2917.56
Kepler-27 b,Kepler-27,2,15.3348,,1044.36,2895.31
HD 33564 b,HD 33564,1,388.0,,20.9531,2892.1
HD 23596 b,HD 23596,1,1561.0,,52.0018,2870.0049
bet Pic c,bet Pic,2,1200.0,,19.7442,2860.47
HIP 65426 b,HIP 65426,1,,1500.0,108.875,2860.47
ROXs 42 B b,ROXs 42 B,1,,1975.0,143.59,2860.0
HIP 70849 b,HIP 70849,1,17337.5,,24.0572,2860.0
HD 175167 b,HD 175167,1,1290.0,,71.0863,2850.9351
WASP-14 b,WASP-14,1,2.24375,,161.997,2809.6172
iot Dra b,iot Dra,1,511.098,,31.32832,2803.1
HD 1690 b,HD 1690,1,533.0,,752.615,2793.7257
gam 1 Leo b,gam 1 Leo,1,428.5,,39.8883,2790.43
HD 30177 b,HD 30177,2,2527.83,,55.5867,2740.33026
HAT-P-2 b,HAT-P-2,1,5.6335158,,127.774,2739.6946
HD 156279 c,HD 156279,2,4191.0,,36.1945,2733.338
HD 191806 b,HD 191806,1,1606.3,,65.6668,2707.9116
MOA-2012-BLG-006L b,MOA-2012-BLG-006L,1,,,5300.0,2700.0
WASP-150 b,WASP-150,1,5.644207,1460.0,527.995,2688.8418
Kepler-14 b,Kepler-14,1,6.790123,,,2669.66
HD 181234 b,HD 181234,1,7462.0575,,47.7458,2660.2371
HD 222582 b,HD 222582,1,572.38,,42.1586,2660.2371
HD 89744 b,HD 89744,1,256.78,,38.6364,2653.8805
Kepler-129 d,Kepler-129,3,2646.0,,408.845,2637.97578
HD 104985 b,HD 104985,1,199.505,,100.576,2637.9
HD 115954 b,HD 115954,1,3700.0,145.0,87.6437,2634.79749
HIP 105854 b,HIP 105854,1,184.2,,78.6381,2606.1
HD 102329 b,HD 102329,2,778.09998,,217.107,2593.4928
HD 74156 c,HD 74156,2,2473.0,,57.603,2561.6
HD 178911 B b,HD 178911 B,1,71.484,,40.9727,2552.1749
WASP-167 b,WASP-167,1,2.0219596,2329.0,423.552,2542.64
HD 203473 b,HD 203473,1,1552.9,,72.6402,2479.074
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,8040000.0,1800.0,,2479.06157
bet Cnc b,bet Cnc,1,605.2,,89.0472,2479.0
HD 14067 b,HD 14067,1,1455.0,,142.024,2479.0
Pr0211 c,Pr0211,2,4850.0,,182.714,2475.8957
KMT-2019-BLG-0371L b,KMT-2019-BLG-0371L,1,,,7010.0,2447.27873
UZ For c,UZ For,2,1916.25,,,2447.2
KIC 5095269 b,KIC 5095269,1,237.68977,,1188.54,2445.06619
HD 137496 c,HD 137496,2,479.9,370.0,155.317,2434.5656
HD 168443 b,HD 168443,2,58.11247,,39.6245,2434.157
HD 5891 b,HD 5891,1,177.11,,283.502,2425.0429
HD 30177 c,HD 30177,2,11613.0,,55.5867,2415.508
eps Tau b,eps Tau,1,594.9,,47.52852,2415.406
CoRoT-14 b,CoRoT-14,1,1.51214,1952.0,1744.6,2415.4
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,,,,2383.6
WD 0806-661 b,WD 0806-661,1,,323.0,19.2444,2383.6
70 Vir b,70 Vir,1,116.688,,17.9011,2357.02728
HD 47536 b,HD 47536,1,712.13,,122.536,2330.0
NN Ser c,NN Ser,2,5573.55,,515.818,2329.6
Kepler-419 c,Kepler-419,2,675.47,,1011.36,2320.1
XO-3 b,XO-3,1,3.19154,,213.053,2316.9807
HD 125612 d,HD 125612,3,2835.0,,57.6207,2313.8024
HD 81040 b,HD 81040,1,1001.70001,,34.4341,2310.6241
HAT-P-20 b,HAT-P-20,1,2.875317,970.0,71.0374,2302.899
HD 111232 b,HD 111232,1,1143.0,,28.9571,2269.3062
4 UMa b,4 UMa,1,269.3,,73.4603,2256.5
HD 86264 b,HD 86264,1,1475.0,,67.8107,2224.81
Kepler-424 c,Kepler-424,2,223.3,,698.646,2215.18
HD 106252 b,HD 106252,1,1531.0,,38.185,2202.5619
KMT-2016-BLG-1397L b,KMT-2016-BLG-1397L,1,,,6600.0,2200.0
HD 59686 A b,HD 59686 A,1,299.36,,89.2721,2199.3836
HD 196067 b,HD 196067,1,3638.0,,39.9346,2192.9
HD 95544 b,HD 95544,1,2172.0,156.0,87.8049,2173.9463
GJ 676 A c,GJ 676 A,4,7337.0,,16.0272,2161.244
Kepler-31 d,Kepler-31,3,87.6451,,1664.64,2161.244
HD 98649 b,HD 98649,1,6022.9725,,42.1727,2158.0657
HAT-P-70 b,HAT-P-70,1,2.74432452,2562.0,330.739,2154.8874
eps CrB b,eps CrB,1,417.9,,69.8683,2129.461
